max_door_frequency,radius,seed,turns,goal_reached,wait_penalty,wait_max_penalty,revisit_penalty,revisit_max_penalty,direction_vector_max_weight,direction_vector_multiplier,direction_vector_pov
10,5,0,5000,False,0.2,inf,0.15,2,3,0.02,25
10,5,1,201,False,0.2,inf,0.15,2,3,0.02,25
10,5,2,5000,False,0.2,inf,0.15,2,3,0.02,25
10,5,0,5000,False,0.2,inf,0.15,2,3,0.02,50
10,5,1,201,False,0.2,inf,0.15,2,3,0.02,50
10,5,2,5000,False,0.2,inf,0.15,2,3,0.02,50
10,5,0,5000,False,0.2,inf,0.15,2,5,0.02,25
10,5,1,201,False,0.2,inf,0.15,2,5,0.02,25
10,5,2,5000,False,0.2,inf,0.15,2,5,0.02,25
10,5,0,5000,False,0.2,inf,0.15,2,5,0.02,50
10,5,1,236,False,0.2,inf,0.15,2,5,0.02,50
10,5,2,5000,False,0.2,inf,0.15,2,5,0.02,50
10,5,0,5000,False,0.2,inf,0.15,5,3,0.02,25
10,5,1,5000,False,0.2,inf,0.15,5,3,0.02,25
10,5,2,5000,False,0.2,inf,0.15,5,3,0.02,25
10,5,0,5000,False,0.2,inf,0.15,5,3,0.02,50
10,5,1,3001,False,0.2,inf,0.15,5,3,0.02,50
10,5,2,5000,False,0.2,inf,0.15,5,3,0.02,50
10,5,0,5000,False,0.2,inf,0.15,5,5,0.02,25
10,5,1,253,False,0.2,inf,0.15,5,5,0.02,25
10,5,2,5000,False,0.2,inf,0.15,5,5,0.02,25
10,5,0,5000,False,0.2,inf,0.15,5,5,0.02,50
10,5,1,253,False,0.2,inf,0.15,5,5,0.02,50
10,5,2,5000,False,0.2,inf,0.15,5,5,0.02,50
10,5,0,385,False,0.2,inf,0.3,2,3,0.02,25
10,5,1,201,False,0.2,inf,0.3,2,3,0.02,25
10,5,2,5000,False,0.2,inf,0.3,2,3,0.02,25
10,5,0,5000,False,0.2,inf,0.3,2,3,0.02,50
10,5,1,183,False,0.2,inf,0.3,2,3,0.02,50
10,5,2,5000,False,0.2,inf,0.3,2,3,0.02,50
10,5,0,5000,False,0.2,inf,0.3,2,5,0.02,25
10,5,1,211,False,0.2,inf,0.3,2,5,0.02,25
10,5,2,5000,False,0.2,inf,0.3,2,5,0.02,25
10,5,0,5000,False,0.2,inf,0.3,2,5,0.02,50
10,5,1,183,False,0.2,inf,0.3,2,5,0.02,50
10,5,2,5000,False,0.2,inf,0.3,2,5,0.02,50
10,5,0,5000,False,0.2,inf,0.3,5,3,0.02,25
10,5,1,201,False,0.2,inf,0.3,5,3,0.02,25
10,5,2,5000,False,0.2,inf,0.3,5,3,0.02,25
10,5,0,5000,False,0.2,inf,0.3,5,3,0.02,50
10,5,1,201,False,0.2,inf,0.3,5,3,0.02,50
10,5,2,5000,False,0.2,inf,0.3,5,3,0.02,50
10,5,0,5000,False,0.2,inf,0.3,5,5,0.02,25
10,5,1,201,False,0.2,inf,0.3,5,5,0.02,25
10,5,2,5000,False,0.2,inf,0.3,5,5,0.02,25
10,5,0,5000,False,0.2,inf,0.3,5,5,0.02,50
10,5,1,236,False,0.2,inf,0.3,5,5,0.02,50
10,5,2,5000,False,0.2,inf,0.3,5,5,0.02,50
10,5,0,5000,False,0.4,inf,0.15,2,3,0.02,25
10,5,1,2896,False,0.4,inf,0.15,2,3,0.02,25
10,5,2,5000,False,0.4,inf,0.15,2,3,0.02,25
10,5,0,5000,False,0.4,inf,0.15,2,3,0.02,50
10,5,1,5000,False,0.4,inf,0.15,2,3,0.02,50
10,5,2,5000,False,0.4,inf,0.15,2,3,0.02,50
10,5,0,5000,False,0.4,inf,0.15,2,5,0.02,25
10,5,1,5000,False,0.4,inf,0.15,2,5,0.02,25
10,5,2,5000,False,0.4,inf,0.15,2,5,0.02,25
10,5,0,5000,False,0.4,inf,0.15,2,5,0.02,50
10,5,1,5000,False,0.4,inf,0.15,2,5,0.02,50
10,5,2,5000,False,0.4,inf,0.15,2,5,0.02,50
10,5,0,5000,False,0.4,inf,0.15,5,3,0.02,25
10,5,1,5000,False,0.4,inf,0.15,5,3,0.02,25
10,5,2,5000,False,0.4,inf,0.15,5,3,0.02,25
10,5,0,5000,False,0.4,inf,0.15,5,3,0.02,50
10,5,1,5000,False,0.4,inf,0.15,5,3,0.02,50
10,5,2,5000,False,0.4,inf,0.15,5,3,0.02,50
10,5,0,5000,False,0.4,inf,0.15,5,5,0.02,25
10,5,1,435,False,0.4,inf,0.15,5,5,0.02,25
10,5,2,5000,False,0.4,inf,0.15,5,5,0.02,25
10,5,0,5000,False,0.4,inf,0.15,5,5,0.02,50
10,5,1,5000,False,0.4,inf,0.15,5,5,0.02,50
